startor,receptor,relation_type,fig_name,number,reftext,year,figtitle,papertitle,caption,figlink,pmcid,filename
PY861,RAC1,activate_relation,PMC2172299__200312013f8.jpg,Figure 8,"Hajime Yano, et al. J Cell Biol. 2004 Jul 19;166(2):283-295.",2004.0,A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells,Roles played by a subset of integrin signaling molecules in cadherin-based cell‚Äìcell adhesion.,"A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells. Integrin signals have been well documented to include a pathway that leads to activation of Rac1 activity, such as through the p130Cas and Crk pathway. Such activation of Rac1 is closely related to plasma membrane ruffling and enhanced cell motility. Our results suggest that integrin signals also include a pathway that evokes a mechanism to down-regulate Rac1 activity at the cell‚Äìcell contact areas of the cell periphery, in which the presence of Fak and paxillin appears to be essential. Paxillin participates in efficient FA recruitment of Fak, and Tyr861 phosphorylation may be important for Fak function. Such localized down-regulation of Rac1 activity appears to be crucial for the maintenance of the normal morphology and normal dynamics of the plasma membrane, the formation of N-cadherin‚Äìbased cell‚Äìcell adhesions, and perhaps also for the maintenance of N-cadherin‚Äìbased cell‚Äìcell adhesions in the collective migration of HeLa cells. Integrin-mediated down-regulation of Rac1 activity upon cell‚Äìcell collision may also be important for the contact inhibition of movement.",/pmc/articles/PMC2172299/figure/fig8/,PMC2172299,200312013f8.jpg
RAC1,Integrin-mediated Cell Motility,activate_relation,PMC2172299__200312013f8.jpg,Figure 8,"Hajime Yano, et al. J Cell Biol. 2004 Jul 19;166(2):283-295.",2004.0,A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells,Roles played by a subset of integrin signaling molecules in cadherin-based cell‚Äìcell adhesion.,"A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells. Integrin signals have been well documented to include a pathway that leads to activation of Rac1 activity, such as through the p130Cas and Crk pathway. Such activation of Rac1 is closely related to plasma membrane ruffling and enhanced cell motility. Our results suggest that integrin signals also include a pathway that evokes a mechanism to down-regulate Rac1 activity at the cell‚Äìcell contact areas of the cell periphery, in which the presence of Fak and paxillin appears to be essential. Paxillin participates in efficient FA recruitment of Fak, and Tyr861 phosphorylation may be important for Fak function. Such localized down-regulation of Rac1 activity appears to be crucial for the maintenance of the normal morphology and normal dynamics of the plasma membrane, the formation of N-cadherin‚Äìbased cell‚Äìcell adhesions, and perhaps also for the maintenance of N-cadherin‚Äìbased cell‚Äìcell adhesions in the collective migration of HeLa cells. Integrin-mediated down-regulation of Rac1 activity upon cell‚Äìcell collision may also be important for the contact inhibition of movement.",/pmc/articles/PMC2172299/figure/fig8/,PMC2172299,200312013f8.jpg
RAC1,Plasma Membrane Dynamics,activate_relation,PMC2172299__200312013f8.jpg,Figure 8,"Hajime Yano, et al. J Cell Biol. 2004 Jul 19;166(2):283-295.",2004.0,A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells,Roles played by a subset of integrin signaling molecules in cadherin-based cell‚Äìcell adhesion.,"A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells. Integrin signals have been well documented to include a pathway that leads to activation of Rac1 activity, such as through the p130Cas and Crk pathway. Such activation of Rac1 is closely related to plasma membrane ruffling and enhanced cell motility. Our results suggest that integrin signals also include a pathway that evokes a mechanism to down-regulate Rac1 activity at the cell‚Äìcell contact areas of the cell periphery, in which the presence of Fak and paxillin appears to be essential. Paxillin participates in efficient FA recruitment of Fak, and Tyr861 phosphorylation may be important for Fak function. Such localized down-regulation of Rac1 activity appears to be crucial for the maintenance of the normal morphology and normal dynamics of the plasma membrane, the formation of N-cadherin‚Äìbased cell‚Äìcell adhesions, and perhaps also for the maintenance of N-cadherin‚Äìbased cell‚Äìcell adhesions in the collective migration of HeLa cells. Integrin-mediated down-regulation of Rac1 activity upon cell‚Äìcell collision may also be important for the contact inhibition of movement.",/pmc/articles/PMC2172299/figure/fig8/,PMC2172299,200312013f8.jpg
Plasma Membrane Dynamics,N-Cadherin Adhesion,activate_relation,PMC2172299__200312013f8.jpg,Figure 8,"Hajime Yano, et al. J Cell Biol. 2004 Jul 19;166(2):283-295.",2004.0,A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells,Roles played by a subset of integrin signaling molecules in cadherin-based cell‚Äìcell adhesion.,"A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells. Integrin signals have been well documented to include a pathway that leads to activation of Rac1 activity, such as through the p130Cas and Crk pathway. Such activation of Rac1 is closely related to plasma membrane ruffling and enhanced cell motility. Our results suggest that integrin signals also include a pathway that evokes a mechanism to down-regulate Rac1 activity at the cell‚Äìcell contact areas of the cell periphery, in which the presence of Fak and paxillin appears to be essential. Paxillin participates in efficient FA recruitment of Fak, and Tyr861 phosphorylation may be important for Fak function. Such localized down-regulation of Rac1 activity appears to be crucial for the maintenance of the normal morphology and normal dynamics of the plasma membrane, the formation of N-cadherin‚Äìbased cell‚Äìcell adhesions, and perhaps also for the maintenance of N-cadherin‚Äìbased cell‚Äìcell adhesions in the collective migration of HeLa cells. Integrin-mediated down-regulation of Rac1 activity upon cell‚Äìcell collision may also be important for the contact inhibition of movement.",/pmc/articles/PMC2172299/figure/fig8/,PMC2172299,200312013f8.jpg
N-Cadherin Adhesion,Plasma Membrane Dynamics,activate_relation,PMC2172299__200312013f8.jpg,Figure 8,"Hajime Yano, et al. J Cell Biol. 2004 Jul 19;166(2):283-295.",2004.0,A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells,Roles played by a subset of integrin signaling molecules in cadherin-based cell‚Äìcell adhesion.,"A hypothetical model showing the roles of Fak and paxillin in motile HeLa cells. Integrin signals have been well documented to include a pathway that leads to activation of Rac1 activity, such as through the p130Cas and Crk pathway. Such activation of Rac1 is closely related to plasma membrane ruffling and enhanced cell motility. Our results suggest that integrin signals also include a pathway that evokes a mechanism to down-regulate Rac1 activity at the cell‚Äìcell contact areas of the cell periphery, in which the presence of Fak and paxillin appears to be essential. Paxillin participates in efficient FA recruitment of Fak, and Tyr861 phosphorylation may be important for Fak function. Such localized down-regulation of Rac1 activity appears to be crucial for the maintenance of the normal morphology and normal dynamics of the plasma membrane, the formation of N-cadherin‚Äìbased cell‚Äìcell adhesions, and perhaps also for the maintenance of N-cadherin‚Äìbased cell‚Äìcell adhesions in the collective migration of HeLa cells. Integrin-mediated down-regulation of Rac1 activity upon cell‚Äìcell collision may also be important for the contact inhibition of movement.",/pmc/articles/PMC2172299/figure/fig8/,PMC2172299,200312013f8.jpg
LACTATE,GPR1,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
CYR1,CAMP,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
IMS,CYR1,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
GPR1,CYR1,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
FTR1,SEF1,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
HYPOXIA,ROSM,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
SEF1,Cell wall synthesis,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
PKA,Cell wall remodelling,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
Cell wall synthesis,B-glucan masking,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
Cell wall remodelling,B-glucan masking,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
Iron depletion,FTR1,activate_relation,PMC6876565__41467_2019_13298_Fig10_HTML.jpg,Fig. 10,"Arnab Pradhan, et al. Nat Commun. 2019;10:5315.",2019.0,Different input-specific signalling pathways activate Œ≤-glucan masking,Non-canonical signalling mediates changes in fungal cell wall PAMPs that drive immune evasion.,"Different input-specific signalling pathways activate Œ≤-glucan masking. Protein kinase A (PKA) signalling is required for iron limitation-induced, hypoxia and lactate-induced Œ≤-glucan masking (Fig.¬†). However, masking in response to iron limitation is not dependent upon adenylyl cyclase (Fig.¬†), unlike lactate-induced (Fig.¬†) or hypoxia-induced Œ≤-glucan masking. Regarding the upstream signalling modules, iron limitation activates Œ≤-glucan masking via the iron transceptor Ftr1 and the iron responsive transcription factor Sfe1. In contrast, lactate triggers Œ≤-glucan masking via the receptor, Gpr1 (ref. ) and the hypoxia signal appears to be transduced via mitochondrial ROS signalling. Hypoxia-induced mitochondrial ROS signalling seems to lie upstream of PKA signalling. In contrast, iron-related Ftr1-Sef1 signalling appears to act independently of PKA signalling (Fig.¬†). Since PKA signalling is not required for cell wall elaboration or growth under iron-limiting conditions (Fig.¬†) this pathway might promote Œ≤-glucan masking via cell wall remodelling mechanisms that remain to be defined. Ftr1-Sef1 signalling is required for cell wall elaboration and growth under iron limitation (Fig.¬†) and therefore might promote Œ≤-glucan masking by driving the synthesis of a relatively thick outer mannan layer (Figs.¬†, ). Source data are provided as a Source Data file.",/pmc/articles/PMC6876565/figure/Fig10/,PMC6876565,41467_2019_13298_Fig10_HTML.jpg
CHK1,CDC25C,inhibit_relation,PMC4826221__oncotarget-07-4490-g009.jpg,Figure 9,"Víctor García, et al. Oncotarget. 2016 Jan 26;7(4):4490-4506.",2016.0,,Galiellalactone induces cell cycle arrest and apoptosis through the ATM/ATR pathway in prostate cancer cells.,"GL induces DNA damage and activation of pATM/ATR, which phosphorylates H2AX and CHK1 to induce cell cycle arrest at the G2/M phase by CDC25C inhibition. Activation of pATM/ATR also induces apoptosis through a CHK1-independent pathway.",/pmc/articles/PMC4826221/figure/F9/,PMC4826221,oncotarget-07-4490-g009.jpg
GL,PH2AX,activate_relation,PMC4826221__oncotarget-07-4490-g009.jpg,Figure 9,"Víctor García, et al. Oncotarget. 2016 Jan 26;7(4):4490-4506.",2016.0,,Galiellalactone induces cell cycle arrest and apoptosis through the ATM/ATR pathway in prostate cancer cells.,"GL induces DNA damage and activation of pATM/ATR, which phosphorylates H2AX and CHK1 to induce cell cycle arrest at the G2/M phase by CDC25C inhibition. Activation of pATM/ATR also induces apoptosis through a CHK1-independent pathway.",/pmc/articles/PMC4826221/figure/F9/,PMC4826221,oncotarget-07-4490-g009.jpg
ATM,CHK1,activate_relation,PMC4826221__oncotarget-07-4490-g009.jpg,Figure 9,"Víctor García, et al. Oncotarget. 2016 Jan 26;7(4):4490-4506.",2016.0,,Galiellalactone induces cell cycle arrest and apoptosis through the ATM/ATR pathway in prostate cancer cells.,"GL induces DNA damage and activation of pATM/ATR, which phosphorylates H2AX and CHK1 to induce cell cycle arrest at the G2/M phase by CDC25C inhibition. Activation of pATM/ATR also induces apoptosis through a CHK1-independent pathway.",/pmc/articles/PMC4826221/figure/F9/,PMC4826221,oncotarget-07-4490-g009.jpg
PH2AX,ATM,activate_relation,PMC4826221__oncotarget-07-4490-g009.jpg,Figure 9,"Víctor García, et al. Oncotarget. 2016 Jan 26;7(4):4490-4506.",2016.0,,Galiellalactone induces cell cycle arrest and apoptosis through the ATM/ATR pathway in prostate cancer cells.,"GL induces DNA damage and activation of pATM/ATR, which phosphorylates H2AX and CHK1 to induce cell cycle arrest at the G2/M phase by CDC25C inhibition. Activation of pATM/ATR also induces apoptosis through a CHK1-independent pathway.",/pmc/articles/PMC4826221/figure/F9/,PMC4826221,oncotarget-07-4490-g009.jpg
 NAC,PH2AX,inhibit_relation,PMC4826221__oncotarget-07-4490-g009.jpg,Figure 9,"Víctor García, et al. Oncotarget. 2016 Jan 26;7(4):4490-4506.",2016.0,,Galiellalactone induces cell cycle arrest and apoptosis through the ATM/ATR pathway in prostate cancer cells.,"GL induces DNA damage and activation of pATM/ATR, which phosphorylates H2AX and CHK1 to induce cell cycle arrest at the G2/M phase by CDC25C inhibition. Activation of pATM/ATR also induces apoptosis through a CHK1-independent pathway.",/pmc/articles/PMC4826221/figure/F9/,PMC4826221,oncotarget-07-4490-g009.jpg
ATM,PH2AX,activate_relation,PMC4826221__oncotarget-07-4490-g009.jpg,Figure 9,"Víctor García, et al. Oncotarget. 2016 Jan 26;7(4):4490-4506.",2016.0,,Galiellalactone induces cell cycle arrest and apoptosis through the ATM/ATR pathway in prostate cancer cells.,"GL induces DNA damage and activation of pATM/ATR, which phosphorylates H2AX and CHK1 to induce cell cycle arrest at the G2/M phase by CDC25C inhibition. Activation of pATM/ATR also induces apoptosis through a CHK1-independent pathway.",/pmc/articles/PMC4826221/figure/F9/,PMC4826221,oncotarget-07-4490-g009.jpg
p-CDK,CDK1,activate_relation,PMC4826221__oncotarget-07-4490-g009.jpg,Figure 9,"Víctor García, et al. Oncotarget. 2016 Jan 26;7(4):4490-4506.",2016.0,,Galiellalactone induces cell cycle arrest and apoptosis through the ATM/ATR pathway in prostate cancer cells.,"GL induces DNA damage and activation of pATM/ATR, which phosphorylates H2AX and CHK1 to induce cell cycle arrest at the G2/M phase by CDC25C inhibition. Activation of pATM/ATR also induces apoptosis through a CHK1-independent pathway.",/pmc/articles/PMC4826221/figure/F9/,PMC4826221,oncotarget-07-4490-g009.jpg
